OBJECTID,STATE_ABBR,STATE_FIPS,STATE_NAME,FIPS,State,AllAge_F_AA_Rate,AllAge_F_Lower_CI,AllAge_F_Upper_CI,AllAge_F_Average_Count,AllAge_F_Recent_Trend,AllAge_F_Recent_5yr_Trend,AllAge_F_Lower_Trend_CI,AllAge_F_Upper_Trend_CI,Under50_F_AA_Rate,Under50_F_Lower_CI,Under50_F_Upper_CI,Under50_F_Average_Count,Under50_F_Recent_Trend,Under50_F_Recent_5yr_Trend,Under50_F_Lower_Trend_CI,Under50_F_Upper_Trend_CI,Age50over_F_AA_Rate,Age50over_F_Lower_CI,Age50over_F_Upper_CI,Age50over_F_Average_Count,Age50over_F_Recent_Trend,Age50over_F_Recent_5yr_Trend,Age50over_F_Lower_Trend_CI,Age50over_F_Upper_Trend_CI,Under65_F_AA_Rate,Under65_F_Lower_CI,Under65_F_Upper_CI,Under65_F_Average_Count,Under65_F_Recent_Trend,Under65_F_Recent_5yr_Trend,Under65_F_Lower_Trend_CI,Under65_F_Upper_Trend_CI,Age65over_F_AA_Rate,Age65over_F_Lower_CI,Age65over_F_Upper_CI,Age65over_F_Average_Count,Age65over_F_Recent_Trend,Age65over_F_Recent_5yr_Trend,Age65over_F_Lower_Trend_CI,Age65over_F_Upper_Trend_CI,Shape__Area,Shape__Length
21,MD,24,Maryland,24,"Maryland(6,8)",43.65,42.67,44.65,1616,,,,,20.91,19.99,21.87,391.6,,,,,104.23,101.6,106.91,1224.4,,,,,33.01,32.07,33.98,1002.8,,,,,117.19,113.03,121.47,613.2,,,,,42422055281.5469,11259618.4421306
22,MA,25,Massachusetts,25,"Massachusetts(7,8)",35.81,34.97,36.66,1516.4,,,,,17.71,16.91,18.54,372.2,,,,,83.22,81.04,85.44,1144.2,,,,,27.9,27.08,28.75,939.6,,,,,90.47,87.15,93.88,576.8,,,,,38241352235.7617,5129577.7633636
23,MI,26,Michigan,26,"Michigan(5,8)",39.44,38.71,40.19,2425.6,,,,,19.25,18.53,19.99,546.2,,,,,93.28,91.37,95.22,1879.4,,,,,29.66,28.94,30.4,1417.2,,,,,107.05,104.08,110.08,1008.4,,,,,294558390754.734,11161114.5456352
24,MN,27,Minnesota,27,"Minnesota(6,8)",41.44,40.41,42.48,1343.4,,,,,20.66,19.67,21.68,330,,,,,96.89,94.19,99.64,1013.4,,,,,31.39,30.39,32.41,811.6,,,,,110.89,106.66,115.25,531.8,,,,,458741382591.566,4650343.21590743
25,MS,28,Mississippi,28,"Mississippi(6,8)",44.95,43.53,46.4,815.4,,,,,19.49,18.2,20.84,171.8,,,,,112.58,108.67,116.6,643.6,,,,,33.09,31.72,34.5,477.2,,,,,126.93,120.9,133.17,338.2,,,,,175118760632.791,3851522.03441677
26,MO,29,Missouri,29,"Missouri(6,8)",43.18,42.2,44.18,1616.6,,,,,20.13,19.2,21.1,352.4,,,,,104.55,101.94,107.21,1264.2,,,,,32.58,31.62,33.57,950,,,,,116.43,112.47,120.49,666.6,,,,,294366137941.727,3041040.52635002
27,MT,30,Montana,30,"Montana(6,8)",42.43,40.06,44.91,274.8,,,,,20.99,18.65,23.53,58.8,,,,,99.64,93.61,105.96,216,,,,,32.39,30.03,34.89,159,,,,,111.83,102.76,121.48,115.8,,,,,820197332873.699,4595239.58314112
28,NE,31,Nebraska,31,"Nebraska(6,8)",42.01,40.23,43.85,455.6,,,,,19.37,17.72,21.13,102.4,,,,,102.25,97.44,107.24,353.2,,,,,31.41,29.68,33.21,267.8,,,,,115.26,107.9,122.99,187.8,,,,,357859229749.102,2918237.67508396
29,NV,32,Nevada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480292075146.352,3053318.04085156
30,NH,33,New Hampshire,33,"New Hampshire(6,8)",41,39.01,43.07,361.2,,,,,19.63,17.69,21.73,76,,,,,97.94,92.82,103.26,285.2,,,,,31.17,29.22,33.22,218.8,,,,,108.96,100.97,117.41,142.4,,,,,45908673828.4727,1564813.00042707
31,NJ,34,New Jersey,34,"New Jersey(7,8)",43.04,42.24,43.85,2394.4,,,,,20.11,19.37,20.88,558.6,,,,,103.07,100.95,105.23,1835.8,,,,,32.21,31.44,33,1433.2,,,,,117.88,114.54,121.3,961.2,,,,,33393514730.7656,6733387.05457401
32,NM,35,New Mexico,35,"New Mexico(7,8)",38.29,36.69,39.93,483.4,,,,,16.65,15.2,18.2,97.4,,,,,94.95,90.66,99.38,386,,,,,28.96,27.39,30.6,279.6,,,,,102.73,96.45,109.31,203.8,,,,,464400517339.418,2899388.20805893
33,NY,36,New York,36,"New York(7,8)",41.28,40.74,41.82,4970,,,,,19.83,19.32,20.34,1186.2,,,,,97.45,96.04,98.86,3783.8,,,,,31.52,30.99,32.05,2990.2,,,,,108.73,106.58,110.92,1979.8,,,,,234808920280.246,8369300.24792061
34,NC,37,North Carolina,37,"North Carolina(6,8)",43.93,43.18,44.69,2805.4,,,,,20.61,19.91,21.33,657.8,,,,,106.01,103.99,108.06,2147.6,,,,,33.16,32.43,33.9,1680.6,,,,,118.37,115.26,121.53,1124.8,,,,,193385320669.463,12303786.6639061
35,ND,38,North Dakota,38,"North Dakota(6,8)",41.32,38.4,44.4,167,,,,,20.63,17.81,23.75,38.8,,,,,96.54,88.99,104.56,128.2,,,,,31.39,28.52,34.47,97,,,,,109.96,98.45,122.43,70,,,,,400350583311.395,3107319.24212283
36,OH,39,Ohio,39,"Ohio(6,8)",43.47,42.77,44.19,3176.4,,,,,19.59,18.92,20.28,656.4,,,,,106.99,105.1,108.91,2520,,,,,31.8,31.11,32.5,1805,,,,,124.19,121.23,127.19,1371.4,,,,,183887178642.734,2985450.28546258
37,OK,40,Oklahoma,40,"Oklahoma(6,8)",42.16,40.93,43.41,969.6,,,,,18.35,17.24,19.51,205.2,,,,,105.41,102.04,108.86,764.4,,,,,31.34,30.15,32.56,569.2,,,,,116.91,111.81,122.19,400.4,,,,,274421350712.707,3293609.03439353
38,OR,41,Oregon,41,"Oregon(6,8)",39.84,38.71,41,1023.4,,,,,18.22,17.17,19.31,228.6,,,,,97.37,94.28,100.52,794.8,,,,,29.7,28.59,30.84,586.2,,,,,109.91,105.28,114.69,437.2,,,,,484474319868.551,5300134.1698119
39,PA,42,Pennsylvania,42,"Pennsylvania(6,8)",41.69,41.03,42.36,3416.8,,,,,19.96,19.31,20.62,723.4,,,,,99.61,97.9,101.34,2693.4,,,,,31.23,30.57,31.89,1937.2,,,,,114.04,111.43,116.71,1479.6,,,,,205385932699.137,2306222.77562529
40,RI,44,Rhode Island,44,"Rhode Island(6,8)",38.88,36.66,41.2,256.6,,,,,20.29,18.08,22.69,62.2,,,,,88.57,82.99,94.42,194.4,,,,,30.88,28.67,33.23,161,,,,,94.15,85.76,103.13,95.6,,,,,4991564615.12891,1425870.12602707
41,SC,45,South Carolina,45,"South Carolina(6,8)",42.64,41.59,43.71,1373.6,,,,,20.01,19.01,21.06,299.8,,,,,102.89,100.1,105.74,1073.8,,,,,32.25,31.21,33.31,799.6,,,,,114.48,110.27,118.8,574,,,,,116198446238.063,8523017.31615766
42,SD,46,South Dakota,46,"South Dakota(6,8)",36.85,34.39,39.45,185.6,,,,,16.23,13.96,18.74,37,,,,,91.68,85.01,98.72,148.6,,,,,26.58,24.21,29.12,103.2,,,,,107.9,97.51,119.08,82.4,,,,,391979250373.91,2953194.56012064
43,TN,47,Tennessee,47,"Tennessee(6,8)",39.95,39.07,40.86,1666.8,,,,,17.79,16.98,18.63,363,,,,,98.88,96.46,101.35,1303.8,,,,,30.01,29.15,30.89,996.2,,,,,108.68,105,112.45,670.6,,,,,166420531221.633,2618057.82021227
44,TX,48,Texas,48,"Texas(6,8)",38,37.55,38.45,5752.4,,,,,16.7,16.32,17.08,1512,,,,,93.78,92.5,95.06,4240.4,,,,,28.24,27.82,28.66,3656.4,,,,,105.45,103.42,107.51,2096,,,,,947442953745.406,16350301.2836809
45,UT,49,Utah,49,"Utah(7,8)",40.91,39.42,42.44,583.8,,,,,18.42,17.19,19.7,170,,,,,99.81,95.49,104.27,413.8,,,,,29.55,28.18,30.96,361.2,,,,,119.44,112.45,126.76,222.6,,,,,368290127869.172,2556973.7575287
46,VT,50,Vermont,50,"Vermont(6,8)",37.84,35.02,40.84,153.4,,,,,18.64,15.85,21.76,32.2,,,,,89.06,81.94,96.63,121.2,,,,,28.6,25.8,31.62,87.6,,,,,101.74,90.88,113.55,65.8,,,,,48273802597.0586,1270704.36928637
47,VA,51,Virginia,51,"Virginia(6,8)",40.38,39.58,41.19,2056.8,,,,,19.02,18.27,19.78,494.8,,,,,97.25,95.08,99.46,1561.8,,,,,29.78,29.02,30.57,1227.2,,,,,113.61,110.14,117.15,829.6,,,,,164705867160.168,11925678.370904
48,WA,53,Washington,53,"Washington(5,8)",42.31,41.41,43.22,1828.2,,,,,19.89,19.07,20.73,447,,,,,102.01,99.57,104.49,1381.2,,,,,31.48,30.62,32.36,1096.4,,,,,117.14,113.31,121.07,731.8,,,,,381165859951.477,9756962.79413097
49,WV,54,West Virginia,54,"West Virginia(6,8)",41.28,39.57,43.06,494,,,,,19.06,17.41,20.83,98.4,,,,,100.42,95.94,105.06,395.6,,,,,30.95,29.24,32.74,273.8,,,,,112.69,106.07,119.61,220.2,,,,,103045398112.664,2585346.11423231
50,WI,55,Wisconsin,55,"Wisconsin(6,8)",42.77,41.76,43.8,1497.6,,,,,20.91,19.93,21.94,340.6,,,,,101.04,98.41,103.73,1157,,,,,32.35,31.35,33.36,889.4,,,,,114.81,110.71,119.02,608.2,,,,,287181496310.398,4533758.44678205
51,WY,56,Wyoming,56,"Wyoming(6,8)",39.91,36.79,43.23,133.4,,,,,17.77,14.93,20.97,28,,,,,98.79,90.32,107.84,105.4,,,,,28.16,25.2,31.37,73.2,,,,,121.16,107.66,135.88,60.2,,,,,474193772887.504,2776688.05226924
